Volcano_Type,Volcano_Name,Volcanic_Explosivity_Index,Elevation,Status,Deaths,Total_Deaths,Country,Coordinates,Year,Month,Day,Flag_Tsunami,Flag_Earthquake
Caldera,Aso,2,1592,Historical,1,1,Japan,"32.88, 131.1",1816,7,5,FALSE,FALSE
Stratovolcano,Ijen,2,2799,Historical,0,0,Indonesia,"-8.058, 114.242",1817,1,24,FALSE,FALSE
Stratovolcano,Raung,4,3332,Historical,0,0,Indonesia,"-8.125, 114.042",1817,0,0,FALSE,FALSE
Stratovolcano,Colima,4,3850,Historical,0,0,Mexico,"19.514, -103.62",1818,2,5,FALSE,FALSE
Stratovolcano,Asuncion,0,857,Historical,0,0,United States,"19.67, 145.4",1819,0,0,TRUE,FALSE
Stratovolcano,Westdahl,2,1654,Historical,0,0,United States,"54.52, -164.65",1820,3,1,TRUE,TRUE
Caldera,Banda Api,2,640,Historical,0,0,Pacific Ocean,"-4.525, 129.871",1820,6,11,FALSE,FALSE
Stratovolcano,Usu,4,731,Historical,50,50,Japan,"42.53, 140.83",1822,3,9,FALSE,FALSE
Stratovolcano,Galunggung,5,2168,Historical,4011,4011,Indonesia,"-7.25, 108.05",1822,10,8,FALSE,FALSE
Stratovolcano,Merapi,3,2947,Historical,100,100,Indonesia,"-7.542, 110.442",1822,12,27,FALSE,FALSE
Shield volcano,Kilauea,0,1222,Historical,0,0,United States,"19.425, -155.292",1823,2,0,FALSE,FALSE
Stratovolcano,Balbi,0,2715,Holocene,0,0,Papua New Guinea,"-5.83, 154.98",1825,0,0,FALSE,FALSE
Stratovolcano,Shishaldin,3,2857,Historical,0,0,United States,"54.75, -163.97",1825,3,21,FALSE,FALSE
Complex volcano,Dieng Volc Complex,2,2565,Historical,0,0,Indonesia,"-7.2, 109.92",1826,10,11,FALSE,FALSE
Stratovolcano,Kelut,3,1731,Historical,0,0,Indonesia,"-7.93, 112.308",1826,10,11,FALSE,FALSE
Caldera,Aso,2,1592,Historical,0,0,Japan,"32.88, 131.1",1826,10,0,FALSE,FALSE
Stratovolcano,Avachinsky,2,2741,Historical,0,0,Russia,"53.255, 158.83",1827,8,9,FALSE,FALSE
Stratovolcano,Avachinsky,2,2741,Historical,0,0,Russia,"53.255, 158.83",1827,6,27,TRUE,TRUE
Complex volcano,Guntur,2,2249,Historical,0,0,Indonesia,"-7.13, 107.83",1829,0,0,FALSE,FALSE
Stratovolcano,Etna,2,3350,Historical,0,0,Italy,"37.734, 15.004",1832,11,1,FALSE,FALSE
Stratovolcano,Merapi,3,2947,Historical,32,32,Indonesia,"-7.542, 110.442",1832,12,25,FALSE,FALSE
Stratovolcano,Kaba,2,1952,Historical,126,126,Indonesia,"-3.52, 102.62",1833,11,24,FALSE,FALSE
Caldera,Banda Api,0,640,Historical,0,0,Pacific Ocean,"-4.525, 129.871",1835,11,1,FALSE,TRUE
